taxon,Accession
Cebine betaherpesvirus 1_NC_038260,NC_038260
Papiine betaherpesvirus 3_NC_055235,NC_055235
Saimiriine betaherpesvirus 4_NC_016448,NC_016448
Saimiriine betaherpesvirus 4_FJ483967,FJ483967
Cynomolgus cytomegalovirus_MT157323,MT157323
Macacine betaherpesvirus 3_DQ120516,DQ120516
Cynomolgus macaque cytomegalovirus strain Mauritius_KP796148,KP796148
Cynomolgus macaque cytomegalovirus strain Ottawa_NC_016154,NC_016154
macacine betaherpesvirus 8_JN227533,JN227533
Aotine betaherpesvirus 1_NC_016447,NC_016447
Aotine betaherpesvirus 1_FJ483970,FJ483970
Cercopithecine betaherpesvirus 5_FJ483969,FJ483969
Macacine betaherpesvirus 3_NC_006150,NC_006150
macacine betaherpesvirus 3_AY186194,AY186194
Human betaherpesvirus 5_AY315197,AY315197
Human betaherpesvirus 5_KX544841,KX544841
Mandrillus leucophaeus cytomegalovirus_NC_075417,NC_075417
Mandrillus leucophaeus cytomegalovirus_KR297253,KR297253
Macacine betaherpesvirus 3_MF468146,MF468146
Human betaherpesvirus 5_KX544840,KX544840
Cynomolgus cytomegalovirus_KX689263,KX689263
Cynomolgus cytomegalovirus_KX689264,KX689264
Cynomolgus cytomegalovirus_NC_033176,NC_033176
Cynomolgus cytomegalovirus_KX689265,KX689265
Macacine betaherpesvirus 3_MF468139,MF468139
Cynomolgus cytomegalovirus_KX689266,KX689266
Macacine betaherpesvirus 3_MF468145,MF468145
macacine betaherpesvirus 3_MZ517254,MZ517254
Macacine betaherpesvirus 3_KX689269,KX689269
Macacine betaherpesvirus 3_MT157329,MT157329
Macacine betaherpesvirus 3_KX689267,KX689267
Macacine betaherpesvirus 3_MT157328,MT157328
Macacine betaherpesvirus 3_KX689268,KX689268
Japanese cytomegalovirus_MT157324,MT157324
Macacine betaherpesvirus 3_MT157331,MT157331
Macacine betaherpesvirus 3_MT157330,MT157330
Papio ursinus cytomegalovirus_NC_027016,NC_027016
Papiine betaherpesvirus 4_KR351281,KR351281
Human betaherpesvirus 5_PP803491,PP803491
Cercopithecine betaherpesvirus 5_NC_012783,NC_012783
Cercopithecine betaherpesvirus 5_FJ483968,FJ483968
Human betaherpesvirus 5_OK000910,OK000910
Human betaherpesvirus 5_KU221098,KU221098
Macacine betaherpesvirus 3_MF468144,MF468144
Baboon cytomegalovirus_MT157322,MT157322
Human betaherpesvirus 5_KM192300,KM192300
Macacine betaherpesvirus 3_MF468141,MF468141
Macacine betaherpesvirus 3_MF468143,MF468143
Human betaherpesvirus 5_MT070141,MT070141
Baboon cytomegalovirus_MT157321,MT157321
Human betaherpesvirus 5_MT070142,MT070142
Macacine betaherpesvirus 3_MF468142,MF468142
