taxon,Accession	
Hepatitis C virus (isolate H77)_NC_038882,NC_038882	
Hepatitis C virus genotype 7_NC_030791,NC_030791	
Hepatitis C virus genotype 2_NC_009823,NC_009823	
Hepatitis C virus genotype 6_NC_009827,NC_009827	
Hepatitis C virus genotype 1_NC_004102,NC_004102	
Hepacivirus hominis_OR345990,OR345990	
Hepacivirus hominis_OR345991,OR345991	
Hepacivirus hominis_OR345992,OR345992	
Hepacivirus hominis_OR345993,OR345993	
Hepacivirus hominis_OR345994,OR345994	
Hepacivirus hominis_OR345995,OR345995	
Hepacivirus hominis_OR345996,OR345996	
Hepacivirus hominis_OR345997,OR345997	
Hepacivirus hominis_OR345998,OR345998	
Hepacivirus hominis_OR345999,OR345999	
Hepacivirus hominis_OR346000,OR346000	
Hepacivirus hominis_OR346001,OR346001	
Hepacivirus hominis_OM513934,OM513934	
Hepacivirus hominis_OM513935,OM513935	
Hepacivirus hominis_OM513936,OM513936	
Hepacivirus hominis_OM513937,OM513937	
Hepacivirus hominis_OM513938,OM513938	
Hepacivirus hominis_OM513939,OM513939	
Hepacivirus hominis_OM513940,OM513940	
Hepacivirus hominis_OM513941,OM513941	
Hepacivirus hominis_OM513942,OM513942	
Hepacivirus hominis_OM513943,OM513943	
Hepacivirus hominis_OM513944,OM513944	
Hepacivirus hominis_OM513945,OM513945	
Hepacivirus hominis_OM513946,OM513946	
Hepacivirus hominis_OM513947,OM513947	
Hepacivirus hominis_OM513948,OM513948	
Hepacivirus hominis_OM513949,OM513949	
Hepacivirus hominis_OM513950,OM513950	
Hepacivirus hominis_OM513951,OM513951	
Hepacivirus hominis_OM513952,OM513952	
Hepacivirus hominis_OM513953,OM513953	
Hepacivirus hominis_OM513954,OM513954	
Hepacivirus hominis_OM513955,OM513955	
Hepacivirus hominis_PP092205,PP092205	
Hepacivirus hominis_PP092206,PP092206	
Hepacivirus hominis_OQ873159,OQ873159	
Hepacivirus hominis_OQ873160,OQ873160	
Hepacivirus hominis_OQ873161,OQ873161	
Hepacivirus hominis_LC773637,LC773637	
Hepacivirus hominis_LC773638,LC773638	
Hepacivirus hominis_LC773639,LC773639	
Hepacivirus hominis_LC773640,LC773640	
Hepacivirus hominis_OQ832071,OQ832071	
Hepatitis C virus subtype 1b_OM222702,OM222702	
Hepatitis C virus subtype 1b_OM222703,OM222703	
Hepacivirus hominis_LC650200,LC650200	
Hepacivirus hominis_MT512570,MT512570	
Hepacivirus hominis_MT185686,MT185686	
Hepacivirus hominis_MH155319,MH155319	
Hepacivirus C_MN712203,MN712203	
Hepacivirus C_MN712204,MN712204	
Hepacivirus hominis_MN385583,MN385583	
Hepacivirus hominis_MK139015,MK139015	
Hepacivirus hominis_MK139016,MK139016	
Hepacivirus hominis_MK139017,MK139017	
Hepacivirus hominis_MK139018,MK139018	
Hepacivirus hominis_MK139019,MK139019	
Hepacivirus hominis_MK139020,MK139020	
Hepacivirus hominis_MK139021,MK139021	
Hepacivirus hominis_MK139022,MK139022	
Hepacivirus hominis_MK527509,MK527509	
Hepacivirus hominis_MH885469,MH885469	
Hepacivirus hominis_MK039720,MK039720	
Hepacivirus hominis_MG437050,MG437050	
Hepacivirus hominis_MG428679,MG428679	
Hepacivirus hominis_MG717925,MG717925	
Hepacivirus hominis_MG717926,MG717926	
Hepacivirus hominis_MG717927,MG717927	
Hepacivirus hominis_MG717928,MG717928	
Hepacivirus hominis_MG717929,MG717929	
Hepacivirus hominis_MG717930,MG717930	
Hepacivirus hominis_MG406987,MG406987	
Hepacivirus hominis_MG406988,MG406988	
Hepacivirus hominis_MF683840,MF683840	
Hepatitis C virus genotype 7_KU861171,KU861171	
Hepacivirus hominis_KY283130,KY283130	
